gene_class,symbol,geneid,samp1,samp2,samp3,samp4,samp5,samp6,samp7,samp8,samp9,samp10,samp11,samp12
Endogenous,PRDX5,NM_012094.4,2813,214,430,2054,251,207,297,271,456,304,384,434
Endogenous,PRF1,NM_005041.3,8969,2723,4588,5889,3304,727,4624,2735,3331,1004,6533,3265
Endogenous,PRKAA1,NM_006251.5,2190,205,478,1331,318,173,352,325,396,224,567,538
Endogenous,PSMA3,NM_152132.1,7079,206,474,5120,366,119,354,240,520,440,597,483
Endogenous,PSMA7,NM_002792.2,11238,504,997,7947,846,377,867,697,1189,960,1334,1195
Endogenous,PSMB1,NM_002793.2,3697,214,441,2888,307,137,342,320,468,299,529,409
Endogenous,PSMB10,NM_002801.3,4965,312,741,2949,564,244,592,456,717,524,1097,762
Endogenous,PSMB3,NM_002795.3,5524,430,774,4014,517,370,626,546,802,620,843,676
Endogenous,PSMC1,NM_002802.2,2203,215,204,1750,158,75,178,175,219,139,273,247
Endogenous,PSMD13,NM_175932.2,3594,266,456,2724,299,103,323,293,498,308,538,459
Endogenous,PSME2,NM_002818.2,18807,885,1595,12704,1377,1236,1533,991,1838,1756,2014,1682
Endogenous,PTEN,NM_000314.3,4298,486,944,2868,572,191,634,555,962,603,1053,1048
Endogenous,PTGER4,NM_000958.2,1079,320,626,672,295,369,530,535,672,290,587,632
Endogenous,PTPRC,NM_080923.2,2346,474,1191,1179,724,301,833,737,738,340,1183,1079
Endogenous,PYCR2,NM_013328.2,3172,166,380,2024,240,142,297,196,377,245,421,386
Endogenous,RANBP2,NM_006267.4,1824,164,303,1038,166,80,197,184,232,90,330,263
Endogenous,RB1CC1,NM_001083617.1,545,79,170,336,123,57,128,112,114,58,209,176
Endogenous,RBBP5,NM_005057.2,984,67,142,554,110,61,94,85,144,74,163,135
Endogenous,RELA,NM_021975.3,1746,173,270,1026,219,91,258,248,281,195,380,343
Endogenous,REST,NM_001193508.1,1668,195,428,1163,319,115,349,257,399,210,574,542
Endogenous,RICTOR,NM_152756.3,764,97,241,390,151,73,146,153,174,73,297,225
Endogenous,RPIA,NM_144563.2,3171,134,280,2324,216,108,216,196,283,163,352,303
Endogenous,RPL23,NM_000978.3,29651,2906,4143,22690,3116,2720,3632,3198,4695,3323,4803,4106
Endogenous,RPLP0,NM_001002.3,73121,4104,7456,49433,4542,3836,5002,4988,7291,5677,8573,5786
Endogenous,RPS6KA1,NM_002953.3,3074,390,652,1884,314,231,501,387,593,319,753,707
Endogenous,RPS6KB1,NM_003161.2,1706,182,271,1037,181,116,180,201,213,138,331,286
Endogenous,RPS6KB2,NM_003952.2,787,67,138,579,89,74,111,113,146,111,170,133
Endogenous,RRAGC,NM_022157.2,609,83,214,412,158,90,140,113,151,104,237,197
Endogenous,RRM2,NM_001034.1,19964,280,816,11856,394,53,343,346,773,700,956,677
Endogenous,RUNX1,NM_001754.4,1467,179,298,994,205,184,365,225,372,187,417,532
Endogenous,SDHB,NM_003000.2,3276,170,308,2625,239,95,265,215,391,260,430,383
Endogenous,SDHC,NM_001035511.1,1558,137,270,1287,207,105,199,181,265,208,313,305
Endogenous,SEC13,NM_001136026.2,2690,130,272,2028,196,114,234,181,316,218,341,283
Endogenous,SERINC1,NM_020755.2,2406,418,676,1420,505,180,706,638,842,309,953,1016
Endogenous,SERINC3,NM_006811.2,2254,312,640,1436,433,167,523,474,609,261,789,773
Endogenous,SERINC5,NM_001174071.2,2675,129,304,912,161,297,247,310,180,106,194,326
Endogenous,SH2D1A,NM_002351.4,3445,423,593,2932,913,171,715,501,792,614,1240,729
Endogenous,SHMT2,NM_001166356.1,2358,121,210,1929,119,89,149,144,244,232,229,200
Endogenous,SLC16A3,NM_004207.2,1605,222,345,921,131,263,304,293,722,317,194,374
Endogenous,SLC1A5,NM_001145144.1,2558,97,144,1514,81,52,118,132,294,140,163,166
Endogenous,SLC2A14,NM_001286234.1,2901,1138,1562,1450,815,1382,1751,1821,1584,504,1248,1743
Endogenous,SLC3A2,NM_001012662.2,4416,215,319,3067,183,133,225,227,358,204,299,264
Endogenous,SLC7A5,NM_003486.5,5252,232,434,5049,238,60,255,240,501,372,355,346
Endogenous,SMAD2,NM_005901.5,2417,155,343,1499,221,91,254,245,334,232,428,360
Endogenous,SMAD3,NM_005902.3,3295,250,477,1510,195,565,356,385,220,136,278,447
Endogenous,SMAD4,NM_005359.3,1402,206,311,825,209,179,235,176,262,143,359,325
Endogenous,SNF8,NM_001317192.1,3467,204,361,2323,268,120,271,235,391,309,450,376
