gene_class,symbol,geneid,samp1,samp2,samp3,samp4,samp5,samp6,samp7,samp8,samp9,samp10,samp11,samp12
Endogenous,SIK1,NM_173354.2,65,196,495,60,130,132,171,347,576,367,304,186
Endogenous,SKP1,NM_170679.2,5427,661,1000,5428,904,428,986,1041,2519,1868,1341,1360
Endogenous,SLAMF6,NM_001184714.1,410,419,724,413,949,199,736,678,1416,1393,1448,1161
Endogenous,SLC25A20,NM_000387.5,1216,189,328,1129,247,81,262,353,507,529,425,445
Endogenous,SLC25A6,NM_001636.3,6085,816,1324,5991,1203,612,1180,1373,2173,1893,1788,1679
Endogenous,SLC3A2,NM_001012662.2,2266,226,249,3305,220,125,269,238,744,899,281,313
Endogenous,SLC7A5,NM_003486.5,3040,290,386,5312,300,69,285,313,1120,1618,397,399
Endogenous,SMAD2,NM_005901.5,1722,167,316,1606,246,71,278,300,689,572,399,417
Endogenous,SMAD3,NM_005902.3,2202,289,461,1975,258,545,440,506,741,802,294,559
Endogenous,SMARCA4,NM_001128849.1,1355,164,209,1462,267,71,252,271,713,655,445,392
Endogenous,SOCS4,NM_199421.1,710,118,166,741,152,65,154,174,411,355,222,237
Endogenous,SP100,NM_003113.3,2380,367,542,2465,577,307,637,787,1879,1192,753,875
Endogenous,STAT1,NM_139266.1,13985,532,648,11122,720,539,1110,989,2783,2650,1125,1426
Endogenous,STAT3,NM_003150.3,1518,385,511,1664,454,325,536,571,1366,1023,637,656
Endogenous,STAT5A,NM_003152.2,1020,158,277,1012,211,124,221,242,604,446,338,293
Endogenous,STAT5B,NM_012448.3,1092,244,428,1089,414,223,428,457,1143,895,630,609
Endogenous,STAT6,NM_003153.3,1150,368,383,1156,561,494,585,590,1010,1099,887,763
Endogenous,STK11,NM_000455.4,1236,189,354,1222,247,154,311,291,784,700,434,435
Endogenous,TAOK2,NM_004783.2,457,112,153,451,113,70,112,117,347,298,198,174
Endogenous,TBX21,NM_013351.1,671,189,306,813,156,75,350,330,1357,818,332,458
Endogenous,TCF7,NM_201633.2,549,153,202,184,300,846,385,456,577,501,206,330
Endogenous,TET2,NM_001127208.2,465,130,241,449,219,59,192,232,536,484,304,281
Endogenous,TFAM,NM_003201.1,1634,107,155,1649,140,77,152,166,420,384,242,215
Endogenous,TFDP1,NM_007111.4,3462,214,313,3189,381,141,274,282,745,679,533,471
Endogenous,TFRC,NM_003234.1,5018,459,701,6564,412,244,714,803,2469,1888,749,974
Endogenous,TGFB1,NM_000660.3,3206,801,628,2842,662,775,925,964,1473,1701,1089,1347
Endogenous,TGFBR2,NM_001024847.1,511,177,263,469,259,123,309,274,693,539,389,387
Endogenous,TIMP1,NM_003254.2,1119,110,135,989,68,197,351,438,534,594,132,402
Endogenous,TKT,NM_001064.2,3144,198,308,3608,347,126,286,336,830,685,506,467
Endogenous,TNF,NM_000594.2,1402,441,383,1900,444,218,569,473,2615,1943,781,1227
Endogenous,TNFRSF18,NM_148901.1,459,562,996,906,165,262,602,657,2708,2351,266,777
Endogenous,TNFRSF4,NM_003327.3,167,173,359,329,90,97,192,179,1060,813,181,362
Endogenous,TOX,NM_014729.2,124,510,1021,177,883,144,691,647,1759,1774,1420,1085
Endogenous,TP53,NM_000546.2,2435,159,263,2285,287,69,249,236,617,569,466,396
Endogenous,TPR,NM_003292.2,869,167,171,823,162,143,168,146,349,275,234,200
Endogenous,TRAC,ENST00000611116.1,21044,6292,13054,20616,7002,3554,8911,7558,17181,18495,10547,12419
Endogenous,TRAF3,NM_145725.2,1205,186,371,1434,347,120,306,328,816,688,502,473
Endogenous,TRAF5,NM_001033910.2,707,339,510,652,412,207,506,474,1445,1183,626,553
Endogenous,TRAT1,NM_016388.2,2369,400,605,2049,794,215,753,755,1846,1555,1340,1267
Endogenous,TRAV13-1,TCRVA_021.1,1595,152,671,1490,86,279,389,895,2224,565,259,385
